EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
322,8059,91,explore,0.7245999999998944,0,90.0,[[9.745771  0.5549943]],29.98,3.5611444127559664
323,8095,36,explore,0.7213599999998932,0,35.0,[[ 1.9895421 12.099735 ]],30.28,1.861259809732437
324,8129,34,explore,0.718299999999892,0,33.0,[[16.77226    5.6525717]],30.31,1.3151645529270173
325,8145,16,explore,0.7168599999998915,1,15.0,[[53.171246 52.22541 ]],30.54,0.377549592256546
326,8184,39,explore,0.7133499999998901,0,38.0,[[4.3208313  0.03937399]],30.54,1.5638697499036789
327,8200,16,explore,0.7119099999998896,1,16.0,[[52.309654 52.480045]],30.74,0.26794886410236357
327,8257,73,explore,0.7067799999998876,0,72.0,[[29.1646   43.807804]],30.74,1.8458764386177062
328,8286,29,explore,0.7041699999998866,1,28.0,[[-2.047606  4.404594]],31.26,1.2394049870967865
329,8362,76,explore,0.697329999999884,1,75.0,[[12.815501 28.715235]],31.31,2.4308995366096497
330,8400,38,explore,0.6939099999998827,0,38.0,[[52.019222 40.690002]],31.85,1.6812687134742736
