#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
388,13717,98,97.0,8.695092266798019
389,13968,251,250.0,23.27483642101288
390,14164,196,195.0,21.32072174847126
391,14246,82,81.0,9.543167021870612
392,14380,134,133.0,13.842153917551041
393,14443,63,62.0,6.392715073823929
394,14644,201,200.0,13.7905433934927
395,14845,201,200.0,22.84620907664299
396,14942,97,96.0,13.78158520102501
397,15182,240,239.0,18.436517848074438
398,15288,106,105.0,8.300259399414063
399,15388,100,99.0,11.156565092206002
400,15603,215,214.0,20.27024984061718
401,15725,122,121.0,18.012747291326523
402,15890,165,164.0,19.25585842728615
403,16071,181,180.0,18.95593566417694
404,16615,544,543.0,16.19880582034588
405,16833,218,217.0,23.044787458777428
406,17223,390,389.0,22.46649614274502
407,17491,268,267.0,23.141760587990284
408,17544,53,52.0,5.024446062445641
409,17663,119,118.0,15.755302869081497
410,17833,170,169.0,24.12607412457466
411,17961,128,127.0,16.8100909614563
412,18065,104,103.0,21.664955259561538
413,18168,103,102.0,16.456149417161942
414,18347,179,178.0,36.132386822700504
415,18579,232,231.0,46.81531374692917
416,18691,112,111.0,20.72372296512127
417,18848,157,156.0,38.86902811944485
418,18982,134,133.0,22.88202672123909
419,19142,160,159.0,29.85406494617462
420,19308,166,165.0,22.627963455915452
421,19427,119,118.0,16.10284013032913
422,19541,114,113.0,12.395864033102988
423,19675,134,133.0,26.44039160132408
424,19816,141,140.0,27.737116895914077
425,19997,181,180.0,32.57971306562424
426,20102,105,104.0,20.537188160419465
427,20260,158,157.0,23.334938399791717
428,20438,178,177.0,29.666596279740332
429,20564,126,125.0,15.293896176218986
430,20672,108,107.0,18.29472170948982
431,20817,145,144.0,28.813137208223342
432,20929,112,111.0,21.139037556648255
433,21039,110,109.0,13.351896531581879
434,21544,505,504.0,30.87929410934448
435,21896,352,351.0,30.723939557671546
436,21999,103,102.0,17.319558853507043
437,22108,109,108.0,20.03735750436783
438,22326,218,217.0,29.0644665235281
439,23053,727,726.0,29.216269181370734
440,23212,159,158.0,26.47269881129265
441,23342,130,129.0,32.69497341513634
442,23763,421,420.0,25.78610397398472
443,23820,57,56.0,6.376925156116486
444,24433,613,612.0,29.139897649288176
445,24656,223,222.0,30.40769533753395
446,24805,149,148.0,27.083063342571258
447,24951,146,145.0,16.466619641780852
448,25353,402,401.0,42.41402629852295
449,25526,173,172.0,33.488673276901245
450,25689,163,162.0,28.955185617208482
451,26088,399,398.0,33.87713706851005
452,26427,339,338.0,28.96571375131607
453,27768,1341,1340.0,38.7164865386486
454,27889,121,120.0,25.737837743759155
455,28065,176,175.0,26.670792748332023
456,28246,181,180.0,31.820472349524497
457,28367,121,120.0,24.896768522262573
458,28527,160,159.0,30.39859179377556
459,28838,311,310.0,34.95973453521729
460,28952,114,113.0,17.882965720891953
461,29071,119,118.0,32.2182613503933
462,29205,134,133.0,19.11156082868576
463,29320,115,114.0,16.325239652991296
464,29438,118,117.0,21.735061089992524
465,29560,122,121.0,16.740170350074767
466,29673,113,112.0,20.226569781303407
467,29768,95,94.0,18.880197542905808
468,29954,186,185.0,28.355679816007616
469,30085,131,130.0,30.261814844608306
470,30542,457,456.0,39.09360810279846
471,31403,861,860.0,35.26588577628136
472,31526,123,122.0,19.635358452796936
473,31634,108,107.0,21.003076997995375
474,31747,113,112.0,16.05312004804611
475,31873,126,125.0,19.004474333524705
476,31974,101,100.0,15.713035562634468
477,32078,104,103.0,18.664760837554933
478,32216,138,137.0,27.853222662210463
479,32340,124,123.0,16.981583411693574
480,32381,41,40.0,9.82462695121765
481,32529,148,147.0,19.917333817481996
482,32627,98,97.0,13.565914051532745
483,32722,95,94.0,18.21129021048546
484,32822,100,99.0,19.73173265993595
485,32926,104,103.0,18.278664529323578
486,33031,105,104.0,27.517237684726716
487,33131,100,99.0,18.01861046552658
488,33277,146,145.0,31.88789107084274
489,33411,134,133.0,26.125377826690674
490,33534,123,122.0,33.21685800552368
491,33641,107,106.0,21.086016137599945
492,33781,140,139.0,25.801959129571916
493,33956,175,174.0,31.584807108044625
494,34144,188,187.0,42.27489327788353
495,34323,179,178.0,35.34882883667946
496,34501,178,177.0,17.301565846204756
497,34577,76,75.0,16.76298771619797
498,34878,301,300.0,41.81862104415894
499,35075,197,196.0,42.18137081861496
500,35297,222,221.0,40.42398044109345
501,35482,185,184.0,19.778940979242325
502,35758,276,275.0,36.58408878087997
503,35910,152,151.0,26.984338715076447
504,36041,131,130.0,29.185886991024017
505,36186,145,144.0,22.32295560002327
506,36598,412,411.0,37.52448706150055
507,36823,225,224.0,37.409435031414034
